gene_id,log2FoldChange,padj
Os01g0926400,1.101893734,4.79e-12
Os06g0532500,-4.524334147,4.8e-12
Os02g0822900,-1.680975578,4.81e-12
Os11g0179700,0.863524119,4.96e-12
Os06g0600400,1.125631011,5.05e-12
Os01g0920700,1.238206344,5.21e-12
Os10g0560400,-2.632408506,5.61e-12
Os01g0347600,-0.852059951,6.03e-12
Os04g0445100,-2.399920861,6.03e-12
Os07g0178800,-5.256179129,6.07e-12
Os07g0418600,-4.641210008,6.1e-12
Os03g0847900,1.250769158,6.2e-12
Os05g0110100,-1.55921498,6.52e-12
Os06g0109500,1.21428428,6.93e-12
Os01g0859200,-1.186535851,7.07e-12
Os01g0974200,1.639746363,7.17e-12
Os05g0292800,-2.400297177,7.47e-12
Os01g0734800,1.609922041,7.59e-12
Os06g0265000,1.136970351,7.7e-12
Os04g0640600,0.90895115,7.71e-12
Os11g0251400,-1.045301908,7.94e-12
Os03g0103200,2.177504887,8.79e-12
Os01g0267100,-0.869457549,8.86e-12
Os03g0411100,0.934577133,8.96e-12
Os04g0359300,1.908499741,9.16e-12
Os01g0803200,-1.22787187,9.79e-12
Os08g0499000,1.099526218,1.07e-11
Os09g0323000,0.94088131,1.07e-11
Os03g0563200,-1.766592342,1.09e-11
Os07g0572400,1.263202361,1.14e-11
Os11g0134300,-0.904889677,1.15e-11
Os06g0214850,0.978840115,1.18e-11
Os01g0803300,-1.803891533,1.2e-11
Os07g0516700,-1.890171264,1.27e-11
Os03g0285300,-1.432246408,1.3e-11
Os10g0463100,-3.901238962,1.4e-11
Os03g0412300,0.999307488,1.45e-11
Os12g0225900,1.33490051,1.51e-11
Os01g0615500,1.738612278,1.54e-11
Os04g0649600,-1.300481393,1.56e-11
Os07g0469100,-2.209450156,1.72e-11
Os01g0195400,1.306828537,1.73e-11
Os05g0358500,-0.955839254,1.75e-11
Os02g0538700,1.249169855,1.79e-11
Os03g0850400,-1.41637296,1.8e-11
Os03g0367101,1.331947722,1.86e-11
Os06g0669400,-1.131437054,1.94e-11
Os04g0412100,-3.531731457,1.98e-11
Os10g0554900,1.449398392,2e-11
Os03g0263300,2.415382458,2.07e-11
Os01g0881900,-1.272333268,2.12e-11
Os02g0465600,1.683604278,2.12e-11
Os12g0617800,-2.02905826,2.13e-11
Os02g0753900,-2.756938418,2.24e-11
